verse_number,chapter_number,chapter_name_vi,chapter_name_ja,vi,ja
86,6,Pham Hien Tri,賢品,"“Những ai hành trì pháp,
Theo chánh pháp khéo dạy,
Sẽ đến bờ bên kia,
Vượt ma lực khó thoát.”","法の正しく説かれたる時、〔その〕法に従う人は彼岸に至らん。
死の境域（生死界）は実に越え難し。"
87,6,Pham Hien Tri,賢品,"Kẻ trí bỏ pháp đen,
Tu tập theo pháp trắng.
Bỏ nhà, sống không nhà,
Sống viễn ly khổ lạc.”","賢者は黒法（悪）を捨てて、白法（善）を修すべし。
家より〔出でて〕、家なき境界に至り、
孤独
にして〔欲〕楽なき処に、"
88,6,Pham Hien Tri,賢品,"“Hãy cầu vui Niết Bàn,
Bỏ dục, không sở hữu,
Kẻ trí tự rửa sạch,
Cấu uế từ nội tâm.”","〔法〕楽を求むべし。
賢者は諸欲を捨て、無一物となり、自己を心垢より浄むべし。"
89,6,Pham Hien Tri,賢品,"“Những ai với chánh tâm,
Khéo tu tập giác chi,
Từ bỏ mọi ái nhiễm,
Hoan hỷ không chấp thủ.
Không lậu hoặc, sáng chói,
Sống tịch tịnh ở đời.”","菩提
の支分（七菩提分）に於て心を正しく修養し、執着なく、貪着を捨つるを喜び、煩悩を滅尽して輝く人は、現世に於て涅槃に入れるなり。"
90,7,Pham A-La-Han,阿羅漢品,"“Ðích đã đến, không sầu,
Giải thoát ngoài tất cả,
Ðoạn trừ mọi buộc ràng,
Vị ấy không nhiệt não.”","〔有為の〕路を終えて憂患を離れ、一切に於て解脱し、一切の
繋縛
を断ちたる人には苦悩なし。"
91,7,Pham A-La-Han,阿羅漢品,"“Tự sách tấn, chánh niệm,
Không thích cư xá nào,
Như ngỗng trời rời ao,
Bỏ sau mọi trú ẩn.”","正念ある人は出家し、彼らは在家を喜ばず。
池を捨て去る鵞鳥の如く、彼らはいずれの家をも捨つ。"
92,7,Pham A-La-Han,阿羅漢品,"“Tài sản không chất chứa,
Ăn uống biết liễu tri,
Tự tại trong hành xứ,
“Không vô tướng, giải thoát, ”
Như chim giữa hư không,
Hướng chúng đi khó tìm.”",蓄積することなく、正念食をなし、空にして無相の解脱を境とする人の道は、虚空に於ける鳥の〔道〕の如く、追随し難し。
93,7,Pham A-La-Han,阿羅漢品,"“Ai lậu hoặc đoạn sạch,
Ăn uống không tham đắm,
Tự tại trong hành xứ,
“Không, vô tướng giải thoát. ”
Như chim giữa hư không,
Dấu chân thật khó tìm. ”",煩悩を滅尽し、飲食に捉われず、空にして無相の解脱を境とする人の跡は、虚空に於ける鳥の〔跡〕の如く、追随し難し。
94,7,Pham A-La-Han,阿羅漢品,"“Ai nhiếp phục các căn,
Như đánh xe điều ngự,
Mạn trừ, lậu hoặc dứt,
Người vậy, Chư Thiên mến.”","諸根寂静に帰して、御者によく
調御
せられし馬の如く、慢を断ち、煩悩を滅尽せる人、天神といえどもこの如き人を羨む。"
95,7,Pham A-La-Han,阿羅漢品,"“Như đất, không hiềm hận,
Như cột trụ, kiên trì,
Như hồ, không bùn nhơ,
Không luân hồi, vị ấy.”","敬虔なる聖者は、
忍辱
なること大地の如く、また門閾に似たり。
〔浄きこと〕泥土なき池〔水〕の如し。
この如き人には
輪廻
あることなし。"
96,7,Pham A-La-Han,阿羅漢品,"“Người tâm ý an tịnh,
Lời an, nghiệp cũng an,
Chánh trí, chơn giải thoát,
Tịnh lạc là vị ấy.”","正智によりて解脱し、安穏を得たる聖者の意は寂静なり。
語もまた業も寂静なり。"
97,7,Pham A-La-Han,阿羅漢品,"“Không tin, hiểu vô vi.
Người cắt mọi hệ lụy
Cơ hội tận, xả ly
Vị ấy thật tối thượng.”","妄信なく、無為（涅槃）を悟り、〔輪廻の〕
繋縛
を断ち、〔善悪の〕契機を退け、
欲望
を捨てたる人こそ実に最上の人士なれ。"
98,7,Pham A-La-Han,阿羅漢品,"“Làng mạc hay rừng núi
Thung lũng hay đồi cao,
La Hán trú chỗ nào,
Ðất ấy thật khả ái “.","村落に於ても、また森林に於ても、低地に於ても、また丘陵に於ても、
阿羅漢
の住する処、その地は楽し。"
99,7,Pham A-La-Han,阿羅漢品,"“Khả ái thay núi rừng,
Chỗ người phàm không ưa,
Vị ly tham ưa thích,
Vì không tìm dục lạc.”","森林は楽しむべし。
衆人の楽しまざる処に於て、離欲の人は楽しまん。
彼らは欲楽を求めざればなり。"
100,8,Pham Ngan,千品,"“Dầu nói ngàn ngàn lời,
Nhưng không gì lợi ích,
Tốt hơn một câu nghĩa,
Nghe xong, được tịnh lạc.”",たとい無益の語を集めて一千言を成すとも、聞きて寂静を得べき、有益の一語これに勝る。
101,8,Pham Ngan,千品,"“Dầu nói ngàn câu kệ
Nhưng không gì lợi ích,
Tốt hơn nói một câu,
Nghe xong, được tịnh lạc.”",たとい無益の句を集めて一千偈を成すとも、聞きて寂静を得べき、一偈の一語これに勝る。
102,8,Pham Ngan,千品,"“Dầu nói trăm câu kệ
Nhưng không gì lợi ích,
Tốt hơn một câu pháp,
Nghe xong, được tịnh lạc.”",無益の句よりなる百偈を誦すとも、聞きて寂静を得べき、一偈の一語これに勝る。
103,8,Pham Ngan,千品,"“Dầu tại bãi chiến trường
Thắng ngàn ngàn quân địch,
Tự thắng mình tốt hơn,
Thật chiến thắng tối thượng.”",戦場に於て百万人に勝つとも、一の自己に克つ者こそ実に最上の戦勝者なれ。
104,8,Pham Ngan,千品,"“Tự thắng, tốt đẹp hơn,
Hơn chiến thắng người khác.
Người khéo điều phục mình,
Thường sống tự chế ngự.”","克服せられたる自己は、実に他の衆人に勝る。
自己を制御し、常に節制して行う人の〔勝利を〕、"
105,8,Pham Ngan,千品,"Dầu Thiên Thần, Thát Bà,
Dầu Ma vương, Phạm Thiên
Không ai chiến thắng nổi,
Người tự thắng như vậy.","天神も、
乾闥婆
も、魔王もまた
梵天
も、かかる人の勝利を〔転じて〕敗北となすことあたわず。"
106,8,Pham Ngan,千品,"“Tháng tháng bỏ ngàn vàng,
Tế tự cả trăm năm,
Chẳng bằng trong giây lát,
Cúng dường bậc tự tu.
Cúng dường vậy tốt hơn,
Hơn trăm năm tế tự.”",月に月に千金を投じて供犠すること百年、しかも一人のよく修養せる人に供養すること瞬時なれば、この供養はかの百年の祭祀に勝る。
107,8,Pham Ngan,千品,"“Dầu trải một trăm năm,
Thờ lửa tại rừng sâu,
Chẳng bằng trong giây lát,
Cúng dường bậc tự tu.
Cúng dường vậy tốt hơn,
Hơn trăm năm tế tự.”",林中に於て祭火に奉仕すること百年、しかも一人のよく修養せる人に供養すること瞬時なれば、この供養はかの百年の祭祀に勝る。
108,8,Pham Ngan,千品,"“Suốt năm cúng tế vật,
Ðể cầu phước ở đời.
Không bằng một phần tư
Kính lễ bậc chánh trực.”",この世に於て、福を求めて一年の間、或いは供犠し或いは祭祀に従事するも、そのすべては、直行の人（阿羅漢）を敬礼する四分の一に値せず。
109,8,Pham Ngan,千品,"“Thường tôn trọng, kính lễ
Bậc kỳ lão trưởng thượng,
Bốn pháp được tăng trưởng:
Thọ, sắc, lạc, sức mạnh.”",敬礼を守り、常に長上を尊ぶ人には、四種の法増長す、すなわち寿と美と楽と力と。
110,8,Pham Ngan,千品,"Dầu sống một trăm năm
Ác giới, không thiền định,
Tốt hơn sống một ngày,
Trì giới, tu thiền định.",百歳の寿を全うするも、戒を破り三昧に住せざれば、戒を持し禅定に住する者の一日の生、これに勝る。
111,8,Pham Ngan,千品,"“Ai sống một trăm năm,
Ác tuệ, không thiền định.
Tốt hơn sống một ngày,
Có tuệ, tu thiền định.”",百歳の寿を全うするも、無知にして三昧に住せざれば、智慧を具し禅定に住する者の一日の生、これに勝る。
112,8,Pham Ngan,千品,"“Ai sống một trăm năm,
Lười nhác không tinh tấn,
Tốt hơn sống một ngày
Tinh tấn tận sức mình.”","百歳の寿を全うするも、怠惰にして
精進
せざれば、堅固なる精進を行ずる者の一日の生、これに勝る。"
113,8,Pham Ngan,千品,"“Ai sống một trăm năm,
Không thấy pháp sinh diệt,
Tốt hơn sống một ngày,
Thấy được pháp sinh diệt.”",百歳の寿を全うするも、生滅の〔理〕を見ざれば、生滅の〔理〕を見る者の一日の生、これに勝る。
114,8,Pham Ngan,千品,"“Ai sống một trăm năm,
Không thấy câu bất tử,
Tốt hơn sống một ngày,
Thấy được câu bất tử.”",百歳の寿を全うするも、不死の道（涅槃）を見ざれば、不死の道を見る者の一日の生、これに勝る。
115,8,Pham Ngan,千品,"Ai sống một trăm năm,
Không thấy pháp tối thượng,
Tốt hơn sống một ngày,
Thấy được pháp tối thượng.",百歳の寿を全うするも、最上の法を見ざれば、最上の法を見る者の一日の生、これに勝る。
116,9,Pham Ac,悪品,"“Hãy gấp làm điều lành,
Ngăn tâm làm điều ác.
Ai chậm làm việc lành,
Ý ưa thích việc ác.”","善に急ぐべし、心を悪より遠ざくべし。
善をなすに
懈怠
する者は、その心悪を喜ぶ。"
117,9,Pham Ac,悪品,"“Nếu người làm điều ác,
Chớ tiếp tục làm thêm.
Chớ ước muốn điều ác,
Chứa ác, tất chịu khổ.”","たとい人悪をなすも、重ねてこれをなすべからず、これを喜ぶべからず。
悪の
積集
は苦なり。"
118,9,Pham Ac,悪品,"“Nếu người làm điều thiện,
Nên tiếp tục làm thêm.
Hãy ước muốn điều thiện,
Chứa thiện, được an lạc.”","もし人善をなさば、重ねてこれをなすべし、これを喜ぶべし。
善の
積集
は楽なり。"
119,9,Pham Ac,悪品,"“Người ác thấy là hiền.
Khi ác chưa chín muồi,
Khi ác nghiệp chín muồi,
Người ác mới thấy ác.”","悪人といえども、悪の未だ熟せざる間は、福善を見る。
然れども悪の熟するや、その時悪人は苦悪を見る。"
120,9,Pham Ac,悪品,"“Người hiền thấy là ác,
Khi thiện chưa chín muồi.
Khi thiện được chín muồi,
Người hiền thấy là thiện.”","善人といえども、善の未だ熟せざる間は、苦悪を見る。
然れども善の熟するや、その時善人は福善を見る。"
121,9,Pham Ac,悪品,"“Chớ chê khinh điều ác,
Cho rằng “chưa đến mình “,
Như nước nhỏ từng giọt,
Rồi bình cũng đầy tràn.
Người ngu chứa đầy ác
Do chất chứa dần dần.”","「そは我に報い来らざるべし」とて、悪を軽視すべからず。
点滴の落下によりて水瓶も満たさる。
微々として積みつつも愚者は悪に満たさる。"
122,9,Pham Ac,悪品,"“Chớ chê khinh điều thiện
Cho rằng “Chưa đến mình, ”
Như nước nhỏ từng giọt,
Rồi bình cũng đầy tràn.
Người trí chứa đầy thiện,
Do chất chứa dần dần.”","「そは我に報い来らざるべし」とて、善を軽視すべからず。
点滴の落下によりて水瓶も満たさる。
微々として積みつつも賢者は善に満たさる。"
123,9,Pham Ac,悪品,"“Ít bạn đường, nhiều tiền,
Người buôn tránh đường hiểm.
Muốn sống, tránh thuốc độc,
Hãy tránh ác như vậy.”",伴侶少なく財貨多き商人の、危なき道を〔避くる〕如く、寿を願う者の毒を〔避くる〕如く、悪業を避くべし。
124,9,Pham Ac,悪品,"“Bàn tay không thương tích,
Có thể cầm thuốc độc.
Không thương tích, tránh độc,
Không làm, không có ác.”","手に傷なければ、手にて毒を捕らうも可なり。
毒は傷なき者には入らず。
悪をなさざる者に悪はなし。"
125,9,Pham Ac,悪品,"“Hại người không ác tâm,
Người thanh tịnh, không uế,
Tội ác đến kẻ ngu,
Như ngược gió tung bụi.”","邪念なき人を害し、清浄にして罪穢なき人を〔害せば〕、悪はかえってその愚者に及ぶ。
あたかも風に逆らって散らされし微塵の如く。"
126,9,Pham Ac,悪品,"“Một số sinh bào thai,
Kẻ ác sinh địa ngục,
Người thiện lên cõi trời,
Vô lậu chứng Niết Bàn.”",ある者は〔人〕胎に宿り、悪業を造れる者は地獄に〔墜ち〕、正しき者は天界に昇り、煩悩を滅尽せる者は涅槃に入る。
127,9,Pham Ac,悪品,"“Không trên trời, giữa biển,
Không lánh vào động núi,
Không chỗ nào trên đời,
Trốn được quả ác nghiệp.”",虚空に於ても、海中に於ても、山間の洞窟に入りても、そこに留まりて悪業より免れ得べき処は、世界になし。
128,9,Pham Ac,悪品,"“Không trên trời, giữa biển,
Không lánh vào động núi,
Không chỗ nào trên đời,
Trốn khỏi tay thần chết.”",虚空に於ても、海中に於ても、山間の洞窟に入りても、そこに留まりて死の力の及ばざる処は世界になし。
129,10,Pham Hinh Phat,刀杖品,"“Mọi người sợ hình phạt,
Mọi người sợ tử vong.
Lấy mình làm ví dụ
Không giết, không bảo giết.”","一切の人は刀杖を怖れ、一切の人は死を恐る。
自己に思い比べて、〔他を〕殺すべからず、殺さしむべからず。"
130,10,Pham Hinh Phat,刀杖品,"“Mọi người sợ hình phạt,
Mọi người thích sống còn;
Lấy mình làm ví dụ,
Không giết, không bảo giết.”","一切の人は刀杖を怖れ、一切の人は生を愛す。
自己に思い比べて、〔他を〕殺すべからず、殺さしむべからず。"
131,10,Pham Hinh Phat,刀杖品,"“Chúng sanh cầu an lạc,
Ai dùng trượng hại người,
Ðể tìm lạc cho mình,
Ðời sau không được lạc.”",自己の安楽を欲して、安楽を好む有情を、刀杖を以て害する者は、死後安楽を得ず。
132,10,Pham Hinh Phat,刀杖品,"“Chúng sanh cầu an lạc,
Không dùng trượng hại người,
Ðể tìm lạc cho mình,
Ðời sau được hưởng lạc.”",自己の安楽を欲して、安楽を好む有情を、刀杖を以て害せざる者は、死後安楽を得。
133,10,Pham Hinh Phat,刀杖品,"“Chớ nói lời ác độc,
Nói ác, bị nói lại,
Khổ thay lời phẩn nộ,
Ðao trượng phản chạm mình.”","粗暴の言を用うべからず。
言われし者また汝に言を返さん。
忿怒の言は実に苦なり。
刀杖かえって汝に触れん。"
134,10,Pham Hinh Phat,刀杖品,"“Nếu tự mình yên lặng,
Như chiếc chuông bị bể.
Ngươi đã chứng Niết Bàn
Ngươi không còn phẩn nộ.”","汝もし壊れたる銅鑼の如く、黙して言わざれば、汝は既に涅槃を得たるなり。
汝に忿怒あることなし。"
135,10,Pham Hinh Phat,刀杖品,"“Với gậy người chăn bò,
Lùa bò ra bãi cỏ;
Cũng vậy, già và chết,
Lùa người đến mạng chung.”",牧者の杖を以て牛を牧場に駆る如く、老と死とは有情の寿命を駆る。
136,10,Pham Hinh Phat,刀杖品,"“Người ngu làm điều ác,
Không ý thức việc làm.
Do tự nghiệp, người ngu
Bị nung nấu, như lửa.”",愚者は悪業をなして悟らず、暗鈍にして自己の業により苦しむこと、あたかも火に焼かるるが如し。
137,10,Pham Hinh Phat,刀杖品,"“Dùng trượng phạt không trượng,
Làm ác người không ác.
Trong mười loại khổ đau,
Chịu gấp một loại khổ.”",罪過なく、邪念なき人を刀杖を以て害する者は、忽ち〔下の如き〕十中の一事に遇うべし。
138,10,Pham Hinh Phat,刀杖品,"“Hoặc khổ thọ khốc liệt,
Thân thể bị thương vong,
Hoặc thọ bệnh kịch liệt,
Hay loạn ý tán tâm.”",激しき苦痛、老衰、身体の毀損、或いは重き病苦、もしくは心の錯乱に遇うべし。
139,10,Pham Hinh Phat,刀杖品,"“Hoặc tai họa từ vua,
Hay bị vu trọng tội;
Bà con phải ly tán,
Tài sản bị nát tan.”","或いは国王より蒙る災禍、或いは恐るべき
讒誣
、或いは親族の離散、或いは財産の破滅に〔遇い〕、"
140,10,Pham Hinh Phat,刀杖品,"“Hoặc phòng ốc nhà cửa
Bị hỏa tai thiêu đốt.
Khi thân hoại mạng chung,
Ác tuệ sanh địa ngục.”","或いはまた浄火彼の家を焼く。
愚痴なる者はその身滅びて後地獄に堕つ。"
141,10,Pham Hinh Phat,刀杖品,"“Không phải sống lõa thể
Bện tóc, tro trét mình,
Tuyệt thực, lăn trên đất,
Sống nhớp, siêng ngồi xổm,
Làm con người được sạch,
Nếu không trừ nghi hoặc.”","裸行も、
螺髻
も、汚泥も、断食も、或いは地上の横臥も、塵垢身も、蹲踞も、疑惑を断ぜざる人を浄むることなし。"
142,10,Pham Hinh Phat,刀杖品,"“Ai sống tự trang sức,
Nhưng an tịnh, nhiếp phục,
Sống kiên trì, phạm hạnh,
Không hại mọi sinh linh,
Vị ấy là phạm chí,
Hay sa môn, khất sĩ.”","たとい〔その身を〕荘厳するとも、一切の有情に刀杖を加うることなく、寂静に住し、〔心を〕
調御
し、自ら制し、
梵行
を持し、行う所平等なる者、彼は婆羅門なり、彼は沙門なり、彼は比丘なり。"
143,10,Pham Hinh Phat,刀杖品,"“Thật khó tìm ở đời,
Người biết thẹn, tự chế,
Biết tránh né chỉ trích
Như ngựa hiền tránh roi.”","この世に於て
慚愧
を以て自己を制する者ありや。
良馬の鞭を〔蒙らざる〕如く、彼は誹謗を蒙らず。"
144,10,Pham Hinh Phat,刀杖品,"“Như ngựa hiền chạm roi,
Hãy nhiệt tâm, hăng hái,
Với tín, giới, tinh tấn,
Thiền định cùng trạch pháp.
Minh hạnh đủ, chánh niệm,
Ðoạn khổ này vô lượng.”",鞭を加えられし良馬の如く、汝らも努力奮励せよ、信仰と戒行と精進とにより、禅定と法の識別とにより、知と行とを具足して忘るることなく、この大なる苦を滅却せよ。
145,10,Pham Hinh Phat,刀杖品,"“Người trị thủy dẫn nước,
Kẻ làm tên nắn tên,
Người thợ mộc uốn ván,
Bậc tự điều, điều thân.”","治水者は水を導き、箭匠は
箭
を矯め、木匠は木を矯め、有徳者は自己を
調御
す。"
146,11,Pham Gia,老品,"“Cười gì, hân hoan gì,
Khi đời mãi bị thiêu?
Bị tối tăm bao trùm,
Sao không tìm ngọn đèn?”","何の喜びぞ、何の歓びぞ、〔世は〕常に燃えつつあるを。
汝らは暗黒に覆わる。
何ぞ灯明を求めざる。"
147,11,Pham Gia,老品,"“Hãy xem bong bóng đẹp,
Chỗ chất chứa vết thương,
Bệnh hoạn nhiều suy tư,
Thật không gì trường cửu.”","見よ粉飾せる形骸を。
〔そは〕傷痍の
積集
にして病患絶えず、多欲にして、堅固・常住ならず。"
148,11,Pham Gia,老品,"“Sắc này bị suy già,
Ổ tật bệnh, mỏng manh,
Nhóm bất tịnh, đỗ vỡ,
Chết chấm dứt mạng sống.”","この形骸は衰退す、病苦の巣窟にして壊れ易し。
汚穢
の
積集
は遂に壊る。
生は必ず死に終わればなり。"
149,11,Pham Gia,老品,"“Như trái bầu mùa thu,
Bị vất bỏ quăng đi,
Nhóm xương trắng bồ câu,
Thấy chúng còn vui gì?”","秋到りて〔捨てられし〕
瓢箪
の如く、委棄せられしこれらの白骨を見て、何の喜びありや。"
150,11,Pham Gia,老品,"“Thành này làm bằng xương,
Quét tô bằng thịt máu,
Ở đây già và chết,
Mạn, lừa đảo chất chứa.”","城郭（形骸）は骨を以て造られ、塗るに肉と血とを以てす。
その中には老と死と慢と偽と
蔵
せらる。"
151,11,Pham Gia,老品,"“Xe vua đẹp cũng già.
Thân này rồi sẽ già,
Pháp bậc thiện, không già.
Như vậy bậc chí thiện
Nói lên cho bậc thiện.”","美しく飾られたる王車も必ず朽ち、肉体もまた遂に老ゆ。
然れども善人の法は老ゆることなし。
実に善人はこれを善人と相伝う。"
152,11,Pham Gia,老品,"“Người ít nghe kém học,
Lớn già như trâu đực.
Thịt nó tuy lớn lên,
Nhưng tuệ không tăng trưởng.”","寡聞の人（愚者）は雄牛の如くに老ゆ。
彼の肉は増せども、彼の智は増すことなし。"
153,11,Pham Gia,老品,"“Lang thang bao kiếp sống
Ta tìm nhưng chẳng gặp,
Người xây dựng nhà này,
Khổ thay, phải tái sanh.”","われ屋舎を作るもの（輪廻の原因）を求めて〔これを〕見出さず、多生の流転を経たり。
生を受くること数次〔みな〕苦なり。"
154,11,Pham Gia,老品,"“Ôi! Người làm nhà kia
Nay ta đã thấy ngươi!
Ngươi không làm nhà nữa.
Ðòn tay ngươi bị gẫy,
Kèo cột ngươi bị tan
Tâm ta đạt tịch diệt,
Tham ái thảy tiêu vong.”","屋舎を作るものよ。
汝は見出されたり。
再び屋舎を作ることなけん。
汝のすべての椽桷は毀たれ、棟梁は砕かれたり。
心は万象を離れて愛欲を滅尽し得たり。"
155,11,Pham Gia,老品,"“Lúc trẻ, không phạm hạnh,
Không tìm kiếm bạc tiền.
Như cò già bên ao,
Ủ rũ, không tôm cá.”","壮時
梵行
を修せず、財宝を獲得せざりし者は、魚なき池の老鷺の如くに死滅す。"
156,11,Pham Gia,老品,"“Lúc trẻ không phạm hạnh,
Không tìm kiếm bạc tiền;
Như cây cung bị gẫy,
Thở than những ngày qua.”","壮時
梵行
を修せず、財宝を獲得せざりし者は、折れたる弓の如く、過去を偲び歎きて横たわる。"
157,12,Pham Tu Nga,自己品,"“Nếu biết yêu tự ngã,
Phải khéo bảo vệ mình,
Người trí trong ba canh,
Phải luôn luôn tỉnh thức.”","もし自己の愛すべきを知らば、よくこれを獲るべし。
賢者は夜の三分（人生の三期）の中、一分は覚醒してあるべし。"
158,12,Pham Tu Nga,自己品,"“Trước hết tự đặt mình,
Vào những gì thích đáng.
Sau mới giáo hóa người,
Người trí khỏi bị nhiễm.”","先ず自己を適所に置き、然る後他を教えよ。
〔かかる〕賢者は悩むことなからん。"
159,12,Pham Tu Nga,自己品,"“Hãy tự làm cho mình,
Như điều mình dạy người.
Khéo tự điều, điều người,
Khó thay, tự điều phục!”","もし他を教うる如く自ら行わば、〔自ら〕よく
調御
せられて、〔他を〕
調御
し得べし。
実に自己は
調御
し難ければなり。"
160,12,Pham Tu Nga,自己品,"“Tự mình y chỉ mình,
Nào có y chỉ khác.
Nhờ khéo điều phục mình,
Ðược y chỉ khó được.”","自己の依所は自己のみなり。
他にいかなる依所あらんや。
自己のよく
調御
せられたる時、人は得難き依所を獲得す。"
161,12,Pham Tu Nga,自己品,"“Ðiều ác tự mình làm,
Tự mình sanh, mình tạo.
Nghiền nát kẻ ngu si,
Như kim cương, ngọc báu.”",自己のなせる悪業は、自己より生じ、自己より起れるものにして、愚者を粉砕すること、金剛石の宝石に於けるが如し。
162,12,Pham Tu Nga,自己品,"Phá giới quá trầm trọng,
Như dây leo bám cây
Gieo hại cho tự thân,
Như kẻ thù mong ước.",破戒甚だしき人は、あたかもつる草がその覆える沙羅樹に〔枯死を望む〕が如く自己に破滅を望む仇敵の意に従って、自ら挙動す（すなわち破滅す）。
163,12,Pham Tu Nga,自己品,"“Dễ làm các điều ác,
Dễ làm tự hại mình.
Còn việc lành, việc tốt,
Thật tối thượng khó làm.”",不善にして自己に害あることは行い易く、〔自己に〕益ありてかつ善なることは極めて行い難し。
164,12,Pham Tu Nga,自己品,"“Kẻ ngu si miệt thị,
Giáo pháp bậc La Hán,
Bậc Thánh, bậc chánh mạng.
Chính do ác kiến này,
Như quả loại cây lau
Mang quả tự hoại diệt.”",正法に従って生くる尊き阿羅漢の教えを、邪見に拠りて謗る愚者は、自己の破滅の為に〔業〕果を結ぶこと、あたかもカッタカ草（葦の一種）の果が〔実りてかえって自ら滅ぶが〕如し。
165,12,Pham Tu Nga,自己品,"“Tự mình, làm điều ác,
Tự mình làm nhiễm ô,
Tự mình không làm ác,
Tự mình làm thanh tịnh.
Tịnh, không tịnh tự mình,
Không ai thanh tịnh ai!”","自ら悪をなして自ら汚れ、自ら悪をなさずして自ら浄し。
各々自ら浄となり不浄となる。
人は他を浄むることあたわず。"
166,12,Pham Tu Nga,自己品,"“Chớ theo pháp hạ liệt.
Chớ sống mặc, buông lung;
Chớ tin theo tà kiến,
Chớ tăng trưởng tục trần.”","たといいかに大〔事〕なりとも、他の為に尽くして自己の義務を
忽諸
にすべからず。
自己の義務を知りて常に自己の義務に専心なるべし。"
167,13,Pham The Gian,世品,"“Dầu lợi người bao nhiêu,
Chớ quên phần tư lợi,
Nhờ thắng trí tư lợi.
Hãy chuyên tâm lợi mình.”",下劣の法に従うべからず、放逸に住すべからず、邪見に従うべからず、世俗の徒となるべからず。
168,13,Pham The Gian,世品,"“Nỗ lực, chớ phóng dật!
Hãy sống theo chánh hạnh;
Người chánh hạnh hưởng lạc,
Cả đời này, đời sau.”","奮起すべし、放逸なるべからず。
善行の法を行うべし。
法に従って行なう人は、この世に於てもかの世に於ても安楽に臥す。"
169,13,Pham The Gian,世品,"“Hãy khéo sống chánh hạnh,
Chớ sống theo tà hạnh!
Người chánh hạnh hưởng lạc,
Cả đời này, đời sau.”","善行の法を行うべし。
悪行の〔法〕を行うべからず。
法に従って行なう人は、この世に於てもかの世に於ても安楽に臥す。"
